idx,유저,챗봇
844,금일 발송 가능한가요?,네 금일 발송해 드릴께요.
845,방수 테이프 테이프형 말고 10X 12 이런 거 잘라서 사용 가능한가요?,잘라서 쓰는 것도 가능하세요.
846,제품 그러면 쓸 때 즉시 잘라서 쓰면 상관없을까요?,손톱 4분의 1이면 너무 짤게 자르셨어요. 그럴 경우 처음에 문의주신 대로 안 띄어지는 문제가 발생될수 있어요.
847,,
848,배송 관련 배송 준비 중인데 언제 배송될까요?,금일 발송 처리가 될 거 같습니다.
849,문의 드름이요 효과는 동일하죠?,네 사용하셔도 됩니다. 추석 연휴로 인해 발송은 19일부터 합니다.
850,,
851,아이가 상처가 났는데 아주 조금 밖에 안 남았네요. 어느 택배지요?,oooo며 주문건 확인 후 금일꼭.배송토록 하겠습니다.
852,내일 발송될까요?,네 주문건 확인 후 발송처리해드릴께요.
853,유통기한 유통기한 언제까지 인가요?,2021년 1월입니다. 구매에 참고하시기 바랍니다.
854,,
855,사이즈가 4X 4가요?,10CMX 10CM 이렇게 표기된 겁니다.
856,,
857,빠른 배송 빠른 배송 바람. 내 일 받을수 있나유?,빠른 배송토록 하겠습니다.
858,문의듀오 덤 유통기한 언제까진 가요?,2020년 7월입니다. 구매에 참고해 주시기 바랍니다.
859,문의배송된다는 문자 받았는데 배송조회가 안 나오네요 언제 받을수 있을까요?,상품은 어제 선포장이 되었고 택배는 금일 오전에수거되었어요. 아마 내일수령하실 거 같아요 참고해주세요.
860,오늘 발송될까요?,네 금일 발송되세요.
861,설 연휴 배송 언제까지 결제 완료해야지 설 연휴 전에 배송되지,16일 오후 3시까지입니다.
862,,
863,유통기한 유통기한 어떻게 되,17년 이상입니다.
864,유통기한이 어떻게 되요?,2018까지입니다.
865,배송 어제 저녁에 주문했는데요오늘 출고 가능할까요?,어제 저녁에 출고되셨습니다 지금은 익산터미널에 있어요.
866,냄새가 왜 이렇게 심한가요?,일단 지금까지 판매되던 상품과 동일한 상품이며 약품 냄새가 날수 잇지만 미미합니다.만약 상처 부위에 붙이시고 난 다음에 냄새가 나는 거면 약품을 상처 부위에 붙였기에 나는 냄새일수 있어요.
867,,
868,어제 주문했습니다 어제 주문했는데 급하게 써야 해서요 내일은 받아볼수 있을까요?,발송처리는 오늘 되십니다. 빠르시면 내일 받아보실수 있을 꺼 같습니다.
869,지금 주문했는데 오늘 꼭 출고될수 있는 거 맞죠?,주문 확인 후 오늘 발송 처리해드릴게요.
870,오늘 발송되지요,어제 발송 처리되셨습니다.
871,제조일자 유통기한 문의 제조일자랑 유통기한이 어떻게 됩니까?,2017년까지 인 제품입니다.
872,발송문의 오늘 2시에 주문했는데 오늘 발송되겠죠,발송처리되었어요.
873,,
874,씬과 CGF 차이는 뭐져?,성능이나 효과는 같으시구요씬은 얇게 나온 상태구 CGF는 두꺼운 제품이예요.
875,,
876,,
877,배송 내일까지 도착 가능한가요?,발송처리는 오늘 해드리나 택배사의 사정에 따라 각 지역마다 배송일시가 틀려질수 있어요.
878,,
879,결제했는데요영수증 하나만 같이 보내주실수 있,문의 내용을 보지 못하고 상품을 발송 처리시켜버렸네요.
880,묶음배송 가능한가요?,요 묶음 배송 가능해요. 주문하실 때 메모란에 꼭 한번 남겨주세요.
881,사이즈가 어떻게 되지,9.7 9.7로 소수점 반올림하여 10 10으로 측정하구 있어요.
882,오늘 발송되는지요?,발송처리되어 간선하차된 상태입니다.
883,배송을 월요일까지 받았으면 좋겠네요 가능할까요?,상품 발송은 저희가 오늘 발송 처리해드릴게요. 택배는 토요일이나 월요일쯤 받으실수 있겠습니다.
884,물건 소독하는데 사용해도 되나요?,네 사용 가능해요.
885,오늘 시켰는데 언제 배송될까요?,오늘 발송 처리됩니다.
886,3개의 상품 다의약외품인가요?,네 맞아요.
887,,
888,가격도 올리고 배송도 시작 안 했네요?,알콜 원 액 자체가 공급사에서 인상되었어요.
889,어떻게 된 건가요?,안내가 늦어졌습니다. 현재 제품이 품절 상태에요.
890,결제한 지 몇 일 지났는데 배송 언제 하시쥬?,제품이 품절 상태에요.
891,,
892,계피스 프레이 만들 때에탄올이거쓰는 거 맞나유?,네 맞아요.
893,플라스틱이나 고무를 소독용액에 넣어두면 싹을수 있나요?,일단 소독용액담는 통 자체가 플라스틱 말통이기 때문에 플라스틱은 유효기간 내에는 삭거나 하지는 않을 꺼 같습니다.고무도 단기간 내에 금방 삭거나 하지는 않겠지만 시간이 지나면 언젠가는 결국 삭기는 할꺼 같아요.
894,제형 이물인가요?,더마틱스 울트라 제품과 더 마틱스 울트라키즈 제품의 경우 밀도 차이가 있어 더마틱스 울트라키즈 제품의 제형이 더 묽은 제품입니다.
895,,
896,군부대로 주문해도 배송이 가능한가요?,택배사는 oo oo로 군부대 사서 함주소의 경우 상품이 정상적으로 도착하지 않을수 있어요.
897,더마틱스 울트라 구매하려 하는데수술한 지 오래되었는데 사용해도 효과 있을까?,더 마틱스 울트라 제품의 경우 최소 3 - 6개월 이상 꾸준히 사용해주시면 효과를 오래된 흉터에도 보실수 있어요.
898,전에 약국에서 산거랑제형 이 틀려요 정품 맞아요?,정식 유통 라인을 저희 oo ooo에서 판매하는 제품들은 통한 약국 정품이 맞아요.
899,리메스카스틱 바르고 그 위에 더 마틱스 울트라 덧발라도 되지요,더 마틱스 울트라 제품의 경우 흉터 부위를 깨끗이 씻고 건조시킨 후에 사용하시는 것을 권장 드립니다.
900,제왕절개 더 마틱스 울트라 많이 사용 하지요,고객님네 재왕절개 이후 생긴 켈로이드 또는 비대성 흉터에 효과 있는 제품입니다.
901,자기 전 약 바르고 대일 밴드 붙여도 되나요?,연고 사용 후에는 1 - 2분가량 방치자연 건조하여 흡수시켜주시는 게 좋습니다.
902,정품인가요?,정식 유통 라인을 저희 oo ooo에서 판매하는 더 마터치 더 마틱스 제품들은 통한 약국 정품입니다.
903,6살 아이 눈 바로 밑에 손톱에 긁혀 지금은 딱지가 앉았는데 어떤 제품이 좋을까요?,흉터치유 목적의 제품은 딱지가 떨어지고 상처가 모두아무 신 후에 사용하시는 것을 권장 드립니다.
904,눈꺼플 위에 흉터가 생겨서요 22개월인데 더 마틱스 울트라발라도 되나요?,더 마틱스 울트라 제품과 키즈 제품은 밀도 차이가 약간 있으며 성분은 동일합니다.
905,정품인가요?,정식 유통 라인을 저희 oo ooo에서 판매하는 모든 제품은 통한 정품 제품입니다.
906,상처가 7개월 정도 지나 흉터로 남았는데 제거 가능할 가요?,효과를 흉터 치유 목적의 연고 제품은 오래된 흉터에도 보실수 있어요. 다만 흉터나 살성에 따라 효과 차이 있는 점안 내드립니다.
907,혹시 화상상처에도 써도 됩니까?,제품은 상처가 아문 후 흉터에 사용하시는 제품입니다 사용에 참고 바랍니다.
908,,
909,무료 배송 받으려면 얼마나 가격이 되어야 하나요?,더마틱스 제품의 경우 무료 배송 정책이 없는 상품입니다고객님들께 더 좋은 가격으로 드리기 위해 더욱 노력하겠습니다.
910,7살 아이키즈용 말고 일반 더마틱스 울트라 써도 괜찮은가요?,더마틱스 울트라키즈 제품이 제형이 더 가벼운 제품입니다. 더마틱스 울트라 사용하셔도 무관합니다.
911,,
912,빠른 배송 부탁드립니다 판매자님 오늘 출고되나유?,구매하신 제품은 금일 출고됩니다.
913,타이레놀이나 아스피린 같은 중형 알약도 완전 분쇄 가능한가요?,완전 분쇄가 되어 고운 가루 형태는 만들기 어렵습니다. 알약이 부서지는 정도라고 보시면 될 듯합니다.
914,,
915,입고 않되나유?,제품은 품절입니다.
916,언제 배송 시작 하나요?,주문하신 상품은 금일 oo택배로 출고됩니다.
917,정품 맞지요?,판매 저는 정품만 취급하고 있어요. 주문하신 상품은 금일 oo택배로 출고됩니다.
918,화요일 발송하여수요일 받을수 있다고 했는데 언제쯤 배송될까요?,제품 22일 출고 건으로 확인됩니다. 출고 제품은 택배 사물류량에 따라 2 - 3일 정도 더 소요되 실수 있어요.
919,접착력이 왜 없는 거죠?,주문하신 제품 박스 뒷면에 보시면 보관 온도가 안내되어 있습니다 듀오덤이 차가 우면 잘 떨어지지 않아요.
920,점 빼고 붙일려고 구매했는데 병원에서 준 거랑 두깨가 같은 줄 알고 구매했는데 넘두꺼워서 외출 시에 사용할수가 없을 거 같아서 재구매할려고 그러는데 얼굴에 붙이고 화장해도 표가 안 나는 아주 은 것도 있,상품 페이지의 듀오덤과 컴포케어는 두께가 비슷한 제품입니다. 참고 후 구매 부탁드립니다.
921,배송 언제 될까요?,휴무 안내를 상세정보상에 8월 1일부터 5일까지 못 보신 듯합니다. 금일 oo택배로 출고 예정이에요.
922,배송됩니까?,주문하신 상품은 금일 oo택배로 출고됩니다.
923,1번 듀오덤 유통기한 2022년 맞죠?,듀오 덤 유통기한은 상세 페이지에 기재되어 있듯 22년 제품 출고 중이며 출고 시점에 따라 유효기간은 변경될수 있어요.
924,1번 유통기한 18년 12월 말고 없니,정확한 제품명으로 재문의 부탁드립니다.
925,,
926,판매 중인 알코올솜 제품과 같이 주문하려고 하니 배송비가 붙습니다 어떻게 주문해야 할까요?,착불선택이 가능한 경우 착불선택하신 후 묶음배송요청 글 남겨주시면 처리드리고 있어요.
927,컴포케어 에코 패치 원형은 여드름 패치로도 사용 가능한가요?,여드름 패치로 사용 가능하십니다. 두께는 얇기는 하나 화장했을 때 표시는 나실수 있어요.
928,사이즈 10 10 제품 맞음?,선택하신 듀오덤 상품은 상품 페이지 표기사항대로 10CMX 10CM 사이즈의 상품입니다.
929,오늘도 배송 하나요?,휴무일로 인하여 답변이 늦어진 점죄송합니다. 토 일 공휴일은 당사의 휴무로 인하여 출고가 불가하며 당사의 당일 출고 마감시간 기준은 오후 3시 이전까지의 주문건입니다.
930,,
931,배송 언제쯤 해주나요?,주문하신 상품은 금일 우체국 택배로 출고됩니다.
932,,
933,병원에서 쓰는 그런 동그란 그런 건가요?,알콜솜은 낱개 포장알콜솜으로 문의주신 내용 중 네모난 종이라고 말씀하신 상품입니다.
934,내일 급히 필요한 거라 당일 3시 전까지 주문건은 당일 출고라 하셔서 지금 주문했는데 오늘 출고되는 거 맞죠?,주문하신 상품은 금일우체국 택배로 출고됩니다.
935,방수될까?,상품은 방수 상품이 아닙니다.
936,유효기간과 배송방금 주문했는데 내일 배송받을수 있지,금일 출고되시며 빠르면 익일 늦으면 2 - 3일 걸리 실수 있으십니다. 유통기한은 2년 이상 여유 있으십니다.
937,꼼꼼히 확인하시어하자 없는 제품 부탁드리구요 토요일까지 받아야 하는데 빠른 배송 부탁드립니다 가능할까요?,우체국 택배로 배송 출고되십니다. 빠르면 익일수령 가능하십니다.
938,,
939,몇 살부터? 5개월 아이 사용 가능한가요?,어린아이도 사용 가능한 제품입니다 제품수령 후 기간 경과 건의 경우 반품 및 교환 처리가 어려워지니 상품수령 직후 불량 여부 확인 바랍니다.
940,저기 여 오늘 주문하면 언제 받을수 있나여?,금일 배송은 오후 3시 이전에 주문 주시면 당일 출고 가능하시며 이후 주문건은 다음날 출고됩니다.
941,유통기한 설명서에 유통기한이 제조일로부터 5년이던 데 다른 답변 보면 18년 도로 된 제품 보낸다는 거는 2년 전에 만든 제품 파시는 건가요?,현재 출고되는 상품은 19년도까지 사용 가능하신 제품이 출고되고 있어요.
942,사이즈가 어떻게 되요?,10CMX 10CM 입니다 상품 정보 이미지에서 확인 가능하십니다.
943,당일 발송 당일 발송 몇 시 주문까지 인가요?,오후 3시 이전 주문건까지 당일 출고되십니다 상품 페이지에 배송 안내가 되어 있으니 주문 전 꼭 확인해주시기 바랍니다.
944,,
945,유통기한 언제까지 인가요?,2년 이상 유효기간 남아 있으신 제품 출고 중이십니다.
946,살이 찌면서 다리 쪽에 튼살이 막 생겼는데 여기도 효과 있니,튼살은 튼살 전용 크림을 사용하셔야겠네요. 붉은 혈관 정도라면 치료 가능하겠지만 하얀 선으로 변한 것은 힘들 듯 하네요.
947,이거 진짜 약국에서 파는 거라 동일 제품 맞죠?,맞아요.
948,화상흉터에도 써도 되,화상은 상처의 깊이나 색소침착에 따라 제품을 사용 시 결과가 다를수 있어요.
949,,
950,oooo와 ooo의 차이점이 뭔가요?,두제품 모두MB필터3중 마스크 제품으로 제조사의 차이입니다.
951,상품 오더하고 하루 만에 가격에 2000원이 떨어지네요?,마스크 품목 특성상 변동이 많은 제품으로 구매수량 및 단가 등 주문수요 및 제품 입고 물량에 따라 그때그때 변동될수 있는 점 양해 부탁드려요.
952,"물을 마스크의 주름 방향이 아래쪽이 앞쪽 앞면에 부어보면 어느 정도 흡수가 되고, 반대로 내부 면에 물을 부어보면 방수가 됩니다. 주름 방향과 끈의 위치가 뒤바뀐 거 아닌가요?",이어 밴드 끈이 부착되어 있는 면이 앞면으로 해서 착용하여 주시면 됩니다.
953,어느 쪽이 앞인가요?,이어 밴드 끈이 부착되어 있는 면이 앞면으로 해서 착용하여 주시면 됩니다.
954,1번 oooo덴탈 마스크 부직포랑 필터가 중국산인가요?,oooo덴탈 마스크 제품의 필터와 부직포는수입산입니다만 마스크 제작의 모든 공정을 국내에서 진행하여 안심하고 사용하실수 있어요.
955,구매했어요택배상자에 마스크 문구 대신 생활용품으로 적어주시면 안 될까요?,포장작업을 만 물류에서 택배송장에 표기된 품목과수량으로 분류 및 하기 때문에 송장 제품명수정이 어려운 점 양해 부탁드려요.
956,덴탈 마스크의약외품인가요?,옵션1번 oooo덴탈 마스크는 의약외품 KF AD 마스크는 아닙니다만 마스크 제작의 모든 공정을 국내에서 진행하여 안심하고 사용하실수 있어요.
957,,
958,MB필터는 국산인가요?,옵션1번 덴탈마스크는 필터와 부직포는수입산입니다만 마스크 제작의 모든 공정을 국내에서 진행하여 안심하고 사용하실수 있어요.
959,덴탈 마스크 식약처 인증받은 제품인가요?,oooo덴탈 마스크는 식약처 인증 의약외품은 아닙니다만 마스크 제작의 모든 공정을 국내에서 진행하여 안심하고 사용하실수 있어요.
960,더마틱스 울트라키즈 7개월 아기가 발라도 되나유?,사용 가능해요.
961,7개월 아기가 발라도 되겠죠,어떤 상품이 신지 남겨주시면 빠른 안내도와 드리겠습니다 오늘도 좋은 하루 되세요.
962,더마틱스 울트라 구입했는데요 이 연고 아침저녁으로 바르고 바른 위에 반창고 같은 거 붙이는 거 아니죠?,더마틱스 울트라 제품은 바르신 후에 빠르게 건조되는 제품입니다
963,딱 지졌을 때부터 발라도 되나여?,제품은 상처가 아문 후에 사용하시는 제품입니다 사용에 참고 바랍니다.
964,아이가 이마가 찢어져서 꿰맸는데요혹시 실밥 풀고 며칠 만에 써야 할까요?,제품은 상처가 아문 직후 사용하실 때 효과가 가장 좋은 제품이지만 오래된 흉터에 도 사용 가능해요.
965,메피폼이랑 번갈아 사용하면 효과가 떨어지나유?,오늘도 좋은 하루 되세요.
966,,
967,더 마스틱 키즈랑 일반이랑 무슨 차이인가요?,두상품 밀도 차이가 있어요.
968,더 마터치도 아이가 사용해도 될까?,사용 가능해요.
969,더마틱스 울트라 바르고 화장. 비비크림 사용해도 될까?,사용 가능하십니다.
970,,
971,무료 배송 상품이랑 같이 주문하는데 자꾸 배송비가 붙네요 합배해서 배송비 없이 받을수 없음?,주문해 주시는 상품 크기에 따라 다른 박스로 배송되는 경우가 있어 정확한 안내가 힘든 점 양해 부탁드려요.
972,다름이 아니라 개봉해보니 제가 원래 사용하던 약국에서 직접 구매한 더마틱스와 글씨색과 디자인 색이 다르던데 약국에서 파는 거랑 다른 제품인가요?,내용 답변 드립니다. 약국이랑 같은 제품 맞아요.
973,,
974,더마틱스랑더 마토치? 랑 같은 맥락인 거예요?,내용은 성분 차이에 있어요. CPX 성분은 같으나 터마 올리브 오일을 터치는 함유하고 있고 더 마틱스는 비타민C를 함유하고 있어요.
975,,
976,더 마터치 울트라수유부가 발라도 괜찮을까요?,네수유부가 사용하셔도 됩니다.
977,더마틱스 울트라겔 7G 15G 유효기간이 언제까지 인가요?,7G 은 21년 5월 15G 은 21년 9월입니다.
978,와이프가 화상 입어서 급해서 구매한 거라고 분명 희전화로 이야기까지 했는데요오늘도 착한다면서요?,택배사 사정으로 인해서 발송 후 1 - 3일 정도 걸릴수 있는 점 양해 부탁드려요.
979,,
980,튼살엔 뭐가 좋지,가까운 약국에서 튼살크림을 구입하시면 됩니다. 실리콘겔은 비후성 흉터에 사용하는 제품입니다.
981,피부과 레이저 시술 후 재생연고로 발라도 되나요?,안 됩니다. 재생연고와는 성분도 작용도 다릅니다.
982,오늘 발송이 안 되었네요?,오늘 발송되십니다 기사님 게서 바코드 리딩 하시고 전산에 반영되는데 시간이 좀 걸려서 그렇습니다.
983,1번이랑 2번 차이가 뭐예요?,주성분은 같습니다. 비타민C를 단 더마틱스 울트라는 더 마터치 울트라는 올리브유를 추가로 넣었습니다.
984,,
985,,
986,PET로 구입할 예정이고 캠핑 다닐 때 양념소 분 목적입니다. 평균적으로 구입하는 게 몇 CC일까요?,양념소분의 경우 30CC 도 많이 사용하시고 45CC 추천 드립니다.
987,화장품에 쓸 예정인데 화장품 넣기 전에 소독은 어떻게 하는 게 좋나요?,PE.PP 재질의 경우 소독기나 열탕 소독스팀 소독 어떤 방법을 사용하셔도 가능하시나 소독 시간이 나 온도에 따라 변형 변색이 있을수 있는 점 양해 부탁드려요.
988,,
989,뚜껑 크기는 다 똑같나요?,캐릭터 마개의 경우 똑딱이 방식으로 여닫는 경우이고 대마개병을 나머지의 경우는 마개가 돌리는 방식으로 제외한 나머지 사이즈 같이 사용하실수 있어요.
990,,
991,사용하기 전에 세척하고 사용해야 하지요,배송 과정에서 이물질 혼입이 되실수 있어요. 사용 전 세척을 꼭 권해드립니다.
992,젖병소독기 사용 가능한가요?,PET 소재 제외하고 젖병소독기 사용 가능해요. 온도나 시간에 따라 변색되실수 있어요.
993,묶음배송은 안 됨?,한 가지는 착불로 해주시거나 아님 결재 후배송요청란에 글 남겨주시면 확인 후 제품에 추가된 배송비 입금해 드릴게요.
994,,
995,뚜껑이랑 몸체랑 호환되,네 대마개를 제외하고는 일반 긴 마개나 짧은 마개는 호환됩니다.
996,약병과 oooo 비타민C를 주문하면 합배송이 되나여?,배송비 결재해서 배송요청란에 배송비 이중부과 알려드려주시면 동봉해서 보내드릴게요.
997,물로 씻고 뚜껑을 나서 닫을 때는 엄청 뻑뻑해서 잘 안 잠궈지는데 혹시 왜 그런 걸까요?,물로 씻어서 뻑뻑해지는 경우는 없얻요. 건조사용하시면 되시구요 소재에 따라 조금 빡빡하게 닫히는 경우는 있어요.
998,,
999,박스가 돼지고기 박스에 옴? 반품 할래요 그냥,포장된 박스는 재활용 박스가 아닌 새박스로 박스 공장에서 바로 나온 새박스입니다.
1000,,
1001,방금 구매하였구요 오늘 발송해 주시는 거 맞죠?,금일 발송되세요.
1002,2번 PP 재질은 누르면 말랑말랑 합니까?,말랑이 재질은 PE 재질입니다.
1003,긴 마개는 똑하고 눌러 닫는 건가요?,일반 긴 마개는 돌려닫는 식이고 캐릭터 마개는 똑딱이 방식입니다.
1004,국산인가요?,약병은 국산 제조입니다.
1005,노란 오리로요청했는데 파란 펭귄이 왔어요 이거 교환은 안 됨?,캐릭터의 경우는 저희가 재고 있을 시는 최대한요청하신 건으로 맞춰서 발송해 드리고자 하나요청하신 재고 부족시는 부득불랜덤 발송이 되세요.
1006,,
1007,PE 약병 젖병소독기나 열탕소독 가능한가요?,두가지 다 가능하시나 사용하시는 시간이 나 온도에 따라 변색 변형되실수 있어요.
1008,여기에 적어도 되니,확인 후요청하신 건으로 최대한 맞춰서 발송해 드릴게요.
1009,오늘 주문했는데 이번 주 받을수 있을 아요?,오늘 4시 이 전 주문건은 오늘 발송되세요. 아직은 당일 배송이 되시는 듯 하시구요 배송사 사정에 따라 1 +2일 배송 지연되실수 있어요.
1010,멸균처리된 약통 아닌가요?,멸균처리된 제품은 아닙니다. 배송 과정에서 이물질 혼입 가능성 있으시니 세척 후 사용을 권해드립니다.
1011,,
1012,토끼 뚜껑 어떻게 사나유?,캐릭터 마개로 주문서 주시구요 배송요청란에 토끼 배송요청 글 남겨주세요.
1013,언제 받을수 잇나요?,주문서 오늘 확인되셨구요 오늘 발송되시면 빠르면 내일이나수요일 받으실수 있어요.
1014,PE로 30CC 60CC 1단위로 눈금이 있습니까?,PE.PP 제품은 일눈금이 되어 있구요 PET 소재는 안 되어 5눈 금입니다.
1015,,
1016,,
1017,,
1018,PE 약병 끓는 물 소독이나 전자레인지 가능한가요?,꼻는 물이나 소독기 소독 가능하시나 온도나 시간에 따라 변색이나 변형되실수 있어요.
1019,12CC 긴 마개랑 200CC 약병이 호환이 되니,마개호환 가능합니다 긴 마개따로 구매 가능해요.
1020,긴 마개는 30CC 용량은 없음?,30PE 긴 마개 구매 가능하시구요긴 마개 없을 시 짧은 마개로 30PE 주문서 주시고 배송요청란에 긴 마개로 적어주시면 긴 마개 배송 나가도록 하겠습니다.
1021,방금 주문했는데 언제 출고될까요?,주문서 확인되셨구요 오늘 출고되세요.
1022,물에 헹궈서 사용하면 물이랑약이랑 섞일 거 같은데요 꼭 물에 행궈서 사용해야 되는 이유가 뭐에요?,약병의 경우 멸균 포장이 아니다보니 소독 후 포장되어 출고되나 이물질 혼입되 실수 있어요.
1023,전 100개 짜릴 시킨 건데이건. 왜 99개만 짝이 다 맞고 2개는 몸통만 남는 걸까요?,무게로 해서 포장이 되다보니 약병의 무게에 따라 98 - 102까지수량 오차가 발생하고 있어요.
1024,뜨거운 물을 넣어도 환경호르몬이 나오지 않습니까?,PEPP 재질 둘 다 열탕 소독은 가능하시 나 온도나 시간에 따라 변형되실수 있어요.
1025,HDPE인가요?,저희 제품은 LDPE 제품입니다. 마개 동일합니다.
1026,,
1027,PP 재질과 PE 재질 고민 중인데 어떤 게 더 아기 약병으로 더 잘 쓰이나요?,현재 아기약병으로는 PP나 PE 제품 둘 다 많이 사용하시는 사이즈이나 캐릭터나 소재의 특성상 말랑이 소재인 PE 제품이 더 많이 사용됩니다.
1028,선택란에 오리마 개선택이 안 되는데 재고가 없,캐릭터 마개의 경우는 마개 선택이 안 되시구요 옵션 선택을요렇게 해주시고 PE 재질 불투명 캐릭터 마개 용량 배송요청란에 원하시는 캐릭 색상 적어주세요.
1029,,
1030,투약병 스티커는 어디 있나요?,약병 구매 시 옵션에 없으시면 판매자의 다른 제품 보기에서 확인 착불로 선택 주문서 주시면 확인 후 동봉해드릴게요.
1031,받자마자 흐르는 물에 세척하라는 건 병 외부인지 내부를 헹구라는 건가요?,약병은 공산품이라 포장이동과정에서 이물질 혼입이 되실수 있어요. 사용 전병 내외부 한 번 세척 후 사용부탁드립니다.
1032,젤 좋은 플라스틱이 PET인가요?,현재 어떤 제품이 가장 좋다 나쁘다 말씀은 드리기가 어렵구요 음용병으로 사용되는 소재의 플라스틱이라 일회용으로 사용하시기는 다 안심하실수 있는 제품입니다.
1033,마개 케릭터는 따로 댓글 남겨야 할까요?,1남겨주신 12긴 마개반 투명의 경우는 캐릭터 마개가 아닌 제품으로 캐릭터 마개는 12PE 캐릭터 마개로 주문 주셔야 하세요.
1034,씻어서 사용하란 게 먼지 때문인가요?,네 배송 중 이물질 혼입이 되실수 있어 꼭 사용 전 세척 후 사용을 권해드립니다.
1035,캐릭터로 12CC 는 토끼밖에 없는 건가요?,토끼 오리펭귄강아지 12.20CC 다구성되어 있으시 구요 사진은 토기로 보이셔도 랜덤으로 발송되세요.
1036,,
1037,다른 상품이랑 합배 안 되는 건가요?,착불로 신청해주시거나 아님 일반 배송비 결재해주시면 추가 결재된 배송비건은 제품과 함께 발송해 드릴게요.
1038,,
1039,추가 상품 스티커는 구매가 안 될까요?,스티커의 경우 옵션 선택이 바로 되시는 마켓이 있는 방면 안 되시는 마켓이 있다보니 옵션에 없는 경우 판매자의 다른 상품보기에서 스티커 검색착 불로 주문서 주시면 동봉해서 발송해 드릴게요.
1040,캐릭터 뚜껑 분홍 토끼로 보내주세요 유팡소독기 돌려도 됩니까?,주문서 확인되셨습니다.요청하신 건으로 발송해 드릴게요.
1041,멸균으로 파는 제품 아니였겠죠,약병은 포장시 1차 소독이 되어 나오나 멸균제품은 아닙니다. 이동시 이물질 혼입이 되실수 있어 세척 후 사용을 권해드리며 젖병소독기 사용은 가능하시 나 온도나 시간에 따라 변색이나 변형되실수는 있어요.
1042,긴 마개 12CC 모두뚜껑 돌려닫는 형식인가요?,현재 판매 중인 제품은 12/20일반마개의 경우는 돌려닫는 형식이구요 캐릭터 약병 12.20은 똑딱이 방식입니다.
1043,다시 주문해야 할 거 같아서요 캐릭터 뚜껑 제품은 입구 부분 혹시 더 얇은 가요?,제품의 두께나 재질은 제조사마다 큰 차이가 나진 않으나 조금씩 차이가 나는 부분이 있어요.
1044,긴 마개 2012CC 의 뚜껑이 눌러 닫는 건가요?,일반 긴 마개는 돌려서 닫는 마개입니다.
1045,캐릭터 마개도 긴 마개 주둥이처럼 긴 거 맞죠?,캐릭터 마개는 긴 주둥이 마개에 마개가 캐릭터로 되어 있어요.
1046,좋아서 용량 큰 걸루재주문해요 혹시 오늘 배송 출발되나요?,주문서 확인되셨구요 오늘 출고되세요.
1047,약병 스티커는 추가에 없던데 어떻기 해야 해요?,스티커의 경우 추가 품목에 없으시면 주문서 아래 베스트 상품란에 약병 스티커 있으시 구요.
1048,왜 추가에 스티커는 없니,옵션 구성이 많을 경우에는 추가 구성이 안 되시는 경우가 있으신데 제품 구입하단에 보시면 판매자의 다른 상품보기에 스티커 부분 확인하시면 구입 가능하시구요.
1049,캐릭터 PE 재질 30CC 는 구매할수 없나유?,캐릭터의 경우는 12.20CC 만 구성되어 있는 제품으로 30CC 의 경우는 캐릭터 마개만 따로 구매하셔야 되세요.
1050,1번 PE 재질 12CC 긴 마개는 원터치 타입인가요?,캐릭터를 제외한 나머지 제품들은 돌려서 여닫는 마게입니다. 원 터치를 원하시는 거라면 케릭터 주문하시면 되세요.
1051,캐릭터 뚜껑 주문할 건데 꼭꼭 구분해서 사용해야 되서 강아지로 초록/노랑으로 부탁드려도 될까요?,주문서 확인되셨구요요청하신 건으로 확인 후 발송해드릴게요.
1052,항상 구매해요 이번에도 노랑오리랑 분홍 토끼로 부탁드려 용 예전에는 저런 문구가 없었는데 원래 한번 헹구고 사용해야 되지요,주문서 확인되셨구요 원하시는 캐릭터로 발송하도록 하겠습니다.
1053,,
1054,약병 처음 받아서 씻어서 사용해야 하나요?,포장 시 열 소독은 되어 나오나 멸균 처리된 제품은 아닙니다. 사용 전 꼭 세척 후 사용해주세요.
1055,,
1056,구매하기 눌러보면 5번 펭귄 모양 약병이 PE로 되어 있고 상세 설명엔 PP인데 무슨 재질이 맞는 건가요?,상세 설명이 잘못된 듯합니다.
1057,PET는 뚜껑 부분이 페트병처럼 딱딱한 가요?,PET은 딱딱한 제품입니다.
1058,이거 참뚜껑이 6개나 없네요?,수차례 클레임을공장에 걸어도 한 번씩 비는 경우가 발생을 합니다.
1059,아기 약 먹는 거 사용 전 세척해야 하지,고객님이 물질 혼입의 우려가 있어 세척 후 사용 부탁드립니다.
1060,토끼랑 오리는 긴 마개인가요?,케릭터 마개는 긴 마개입니다.
1061,혹시 소독되서 나오는 건가요?,포장 시 열처리되어 나오나 멸균제품이 아니다보니 이동과정에서 이물질이 혼입되실수 있어요.
1062,어떻게 세척해야 하지,포장 시 열처리는 되시나 이동과정에서 이물질 혼입되 실수 있어요. 약 복용시 이물질 혼입의 우려가 있어 전 세척 후 사용을 사용하시기 권장 드립니다.
1063,PP샀는데 쓰기 전 물로 헹구고 자외선 소독기 10분 돌려도 됨?,자외선 소독기에 돌리셔도 되시나 변형이나 변색의 우려가 있어요. 포장 시열처리되시나 이동과정에서 이물질 혼입이 되실수 있으셔서 사용 전 세척 후 사용 권장 드립니다.
